"죄종별(1)",죄종별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"죄종별(1)",죄종별(2),계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상,계,마약류,마약류,마약류,마약류,본드·신나등,알코올,해당무,미상
"죄종별(1)",죄종별(2),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"폭력범죄",상해,2517,-,-,-,-,-,132,2272,113,2566,1,1,-,-,-,134,2337,94,3079,-,-,-,-,-,181,2812,86,3149,-,-,-,-,2,153,2855,139,2778,-,-,-,-,-,131,2534,113,2493,1,1,-,-,3,118,2281,90,1850,1,-,1,-,-,113,1664,72,1744,-,-,-,-,-,96,1587,61
"폭력범죄",폭행,5390,1,1,-,-,1,229,3463,1696,6589,-,-,-,-,-,228,3966,2395,7753,-,-,-,-,2,244,4900,2607,8492,-,-,-,-,-,317,5294,2881,8112,-,-,-,-,-,338,5646,2128,7714,-,-,-,-,-,326,5538,1850,6042,2,-,1,1,-,287,4314,1439,5717,1,1,-,-,-,290,4092,1334
"폭력범죄",체포·감금,10,-,-,-,-,-,-,10,-,40,-,-,-,-,-,-,38,2,82,-,-,-,-,-,-,73,9,133,-,-,-,-,-,1,108,24,133,-,-,-,-,-,1,108,24,122,-,-,-,-,-,2,99,21,120,-,-,-,-,-,2,104,14,104,1,-,1,-,-,3,69,31
"폭력범죄",협박,142,-,-,-,-,-,2,102,38,196,-,-,-,-,-,1,147,48,366,-,-,-,-,-,4,279,83,470,-,-,-,-,-,8,341,121,565,-,-,-,-,-,10,441,114,672,-,-,-,-,-,8,534,130,671,-,-,-,-,-,16,545,110,655,-,-,-,-,-,15,511,129
"폭력범죄",약취·유인,13,-,-,-,-,-,2,7,4,16,-,-,-,-,-,-,15,1,11,-,-,-,-,-,3,7,1,23,-,-,-,-,-,-,22,1,13,-,-,-,-,-,-,12,1,20,-,-,-,-,-,-,16,4,23,-,-,-,-,-,-,19,4,8,-,-,-,-,-,-,7,1
"폭력범죄",폭력행위등,10472,1,1,-,-,12,438,9398,623,9118,2,2,-,-,1,463,8043,609,7316,-,-,-,-,5,229,6645,437,7707,1,1,-,-,-,297,6906,503,6993,1,-,1,-,-,253,6380,359,6450,2,1,-,1,-,243,5884,321,5025,-,-,-,-,1,161,4665,198,4563,1,1,-,-,-,229,4112,221
"폭력범죄",공갈,754,1,1,-,-,-,2,719,32,630,-,-,-,-,-,-,576,54,817,-,-,-,-,-,5,757,55,1022,-,-,-,-,2,-,938,82,1086,-,-,-,-,-,5,1022,59,1053,-,-,-,-,-,3,989,61,928,1,-,-,1,-,3,850,74,740,-,-,-,-,-,3,670,67
"폭력범죄",손괴,703,-,-,-,-,-,54,599,50,881,-,-,-,-,-,57,739,85,979,-,-,-,-,-,65,810,104,952,-,-,-,-,-,57,792,103,937,1,-,1,-,1,63,773,99,1114,-,-,-,-,2,71,940,101,1070,-,-,-,-,-,63,899,108,1123,-,-,-,-,-,73,918,132
"지능범죄",소계,10483,2,2,-,-,3,55,9194,1229,11711,1,1,-,-,1,96,10017,1596,11035,2,2,-,-,-,86,9504,1443,9358,2,2,-,-,-,57,8171,1128,9801,3,-,1,2,2,93,8700,1003,10652,4,2,2,-,4,84,9459,1101,11732,2,1,1,-,-,89,10461,1180,8458,1,-,-,1,-,61,7522,874
"지능범죄",직무유기,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,5,3,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",직권남용,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",증수뢰,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"지능범죄",통화,14,-,-,-,-,-,-,14,-,32,-,-,-,-,-,-,27,5,35,-,-,-,-,-,-,33,2,20,-,-,-,-,-,-,18,2,12,-,-,-,-,-,-,12,-,21,-,-,-,-,-,-,17,4,5,-,-,-,-,-,-,4,1,4,-,-,-,-,-,-,4,-
"지능범죄",문서·인장,1816,-,-,-,-,-,24,1727,65,1865,-,-,-,-,-,30,1768,67,2068,-,-,-,-,-,52,1928,88,1748,-,-,-,-,-,36,1620,92,1467,-,-,-,-,2,20,1391,54,1307,-,-,-,-,-,40,1224,43,1264,1,-,1,-,-,16,1177,70,656,-,-,-,-,-,20,617,19
