"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알코올,해당무,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"형법범",강력범죄(흉악),살인,1063,7,2,-,5,3,102,746,205,1050,1,-,-,1,-,90,745,214,1043,1,1,-,-,3,74,784,181,986,1,-,-,1,1,78,693,213,1095,3,1,1,1,0,89,636,367,1050,5,-,-,5,1,73,615,356,1034,5,3,-,2,1,60,557,411,772,3,1,-,2,-,71,505,193
"형법범",강력범죄(흉악),강도,2124,13,1,-,12,1,90,1805,215,2046,6,2,-,4,1,64,1777,198,1846,2,-,-,2,-,54,1508,282,1497,2,-,-,2,1,45,1273,176,1320,7,0,0,7,0,46,989,278,1495,7,1,2,4,-,36,1176,276,1314,8,2,-,6,-,34,1018,254,764,7,1,1,5,-,26,623,108
"형법범",강력범죄(흉악),방화,1451,3,1,-,2,1,196,1140,111,1480,2,-,-,2,1,166,1182,129,1351,2,-,-,2,1,145,1070,133,1263,3,-,-,3,-,115,997,148,1368,2,1,0,1,0,170,1059,137,1294,6,-,-,6,-,128,981,179,1161,3,3,-,-,1,117,896,144,916,4,2,-,2,1,84,733,94
"형법범",강력범죄(흉악),성폭력,25223,20,2,6,12,2,1998,19442,3761,27199,20,7,1,12,2,1944,20907,4326,29289,11,2,1,8,2,2131,22241,4904,32837,13,-,-,13,-,2368,24187,6269,32858,34,6,4,24,2,2623,22921,7278,33551,32,5,4,23,2,2922,22829,7766,31952,34,8,1,25,2,2857,21239,7820,31651,32,3,7,22,1,2302,22388,6928
"형법범",강력범죄(폭력),소계,331937,56,15,3,38,22,27618,195582,108659,344867,39,15,4,20,6,23162,202232,119428,349879,41,13,7,21,11,20625,202733,126469,332779,28,9,2,17,7,20108,188345,124291,317876,70,16,15,39,6,21086,175894,120820,312669,69,11,20,38,9,21310,174072,117209,279976,48,10,14,24,5,19434,157282,103207,232001,55,9,8,38,3,16911,143773,71259
"형법범",강력범죄(폭력),폭행,202731,17,4,1,12,8,14742,96219,91745,220704,14,7,2,5,3,12847,106119,101721,236505,21,8,4,9,5,11991,114387,110101,228999,16,5,1,10,2,12127,108860,107994,221369,27,8,8,11,4,13060,104870,103408,217391,24,2,10,12,1,13238,105389,98739,191012,29,7,10,12,1,12139,93931,84912,155279,16,5,2,9,3,10637,88015,56608
"형법범",강력범죄(폭력),상해,102320,20,5,2,13,4,11381,81174,9741,93329,20,5,2,13,2,8904,75146,9257,83069,12,2,3,7,5,7404,67823,7825,74115,8,3,1,4,2,6771,59865,7469,65210,18,5,2,11,2,6618,51265,7307,59687,24,5,8,11,6,6369,46495,6793,53162,6,-,3,3,1,5565,41332,6258,42405,16,3,4,9,-,4422,33760,4207
"형법범",강력범죄(폭력),협박,10205,7,3,-,4,1,796,6223,3178,15151,3,3,-,-,1,983,9685,4479,17814,4,-,-,4,-,1018,11756,5036,17463,3,1,-,2,1,998,11312,5149,19341,10,0,0,10,0,1205,11835,6291,23561,5,2,1,2,2,1540,14253,7761,23471,6,2,1,3,1,1540,14076,7848,22913,15,1,-,14,-,1650,14529,6719
"형법범",강력범죄(폭력),공갈,7497,8,3,-,5,9,185,5675,1620,5763,1,-,-,1,-,70,4236,1456,5911,2,2,-,-,-,88,4332,1489,5527,1,-,-,1,2,65,3945,1514,5397,9,3,2,4,0,58,3717,1613,5366,14,2,1,11,-,38,3781,1533,5302,6,1,-,5,-,40,3641,1615,4005,4,-,-,4,-,31,2777,1193
"형법범",강력범죄(폭력),약취와유인,271,-,-,-,-,-,11,174,86,290,-,-,-,-,-,1,160,129,297,-,-,-,-,-,5,186,106,299,-,-,-,-,-,4,192,103,268,0,0,0,0,0,5,175,88,368,-,-,-,-,-,5,206,157,311,-,-,-,-,-,8,171,132,325,1,-,1,-,-,11,218,95
"형법범",강력범죄(폭력),체포와감금,2108,1,-,-,1,-,42,1145,920,2372,-,-,-,-,-,40,1345,987,2622,2,1,-,1,-,41,1552,1027,2771,-,-,-,-,-,64,1583,1124,2495,1,0,0,1,0,48,1432,1014,2546,2,-,-,2,-,66,1419,1059,2517,1,-,-,1,-,52,1348,1116,2303,3,-,1,2,-,45,1343,912
"형법범",강력범죄(폭력),폭력행위등(손괴·강요·주거침입등),4996,2,-,-,2,-,290,3681,1023,5119,1,-,-,1,-,216,3907,995,3060,-,-,-,-,1,70,2221,768,2987,-,-,-,-,-,73,2066,848,2826,1,0,1,0,0,84,1888,853,3248,-,-,-,-,-,51,2126,1071,3675,-,-,-,-,2,77,2396,1200,4131,-,-,-,-,-,115,2595,1421
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),1809,1,-,-,1,-,171,1291,346,2139,-,-,-,-,-,101,1634,404,601,-,-,-,-,-,8,476,117,618,-,-,-,-,-,6,522,90,970,4,0,2,2,0,8,712,246,502,-,-,-,-,-,3,403,96,526,-,-,-,-,-,13,387,126,640,-,-,-,-,-,-,536,104
"형법범",위조범죄,소계,23543,7,2,1,4,-,39,10934,12563,22478,1,-,-,1,-,44,10366,12067,20992,2,-,1,1,1,61,9824,11104,19539,1,1,-,-,-,47,8460,11031,18849,6,2,1,3,2,32,7487,11322,19857,4,3,1,-,2,56,7817,11978,18292,5,1,2,2,-,20,7112,11155,13455,5,2,-,3,1,25,5654,7770
"형법범",위조범죄,통화,345,-,-,-,-,-,-,89,256,300,-,-,-,-,-,-,105,195,233,-,-,-,-,-,-,93,140,563,-,-,-,-,-,-,140,423,304,1,0,1,0,0,0,83,220,218,-,-,-,-,-,-,66,152,111,-,-,-,-,-,-,28,83,63,-,-,-,-,-,-,23,40
