"범죄별(1)",범죄별(2),범죄별(3),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021
"범죄별(1)",범죄별(2),범죄별(3),합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상,합계,마약류,마약류,마약류,마약류,본드·신나 등 환각물질,알콜,해당무,미상
"범죄별(1)",범죄별(2),범죄별(3),소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계,소계,소계,마약,대마,향정신성의약품,소계,소계,소계,소계
"형법범",강력범죄(흉악),살인,607,5,2,-,3,2,85,510,5,603,-,-,-,-,-,78,524,1,596,1,1,-,-,2,66,526,1,511,1,-,-,1,1,55,453,1,474,3,1,1,1,0,64,405,2,472,5,0,0,5,0,60,406,1,408,4,2,-,2,1,48,355,-,390,2,1,-,1,-,59,328,1
"형법범",강력범죄(흉악),강도,1502,12,-,-,12,1,74,1410,5,1409,6,2,-,4,1,54,1345,3,1248,2,-,-,2,-,46,1197,3,1003,2,-,-,2,1,38,962,-,801,7,0,0,7,0,40,753,1,907,6,1,1,4,0,26,875,0,748,6,1,-,5,-,28,713,1,469,6,1,-,5,-,25,436,2
"형법범",강력범죄(흉악),방화,981,3,1,-,2,1,167,810,-,1035,2,-,-,2,1,134,897,1,892,2,-,-,2,1,122,765,2,824,3,-,-,3,-,99,720,2,890,2,1,0,1,0,147,739,2,830,6,0,0,6,0,117,704,3,770,3,3,-,-,1,97,669,-,614,2,-,-,2,1,73,537,1
"형법범",강력범죄(흉악),성폭력,12524,14,2,5,7,1,1351,11048,110,12984,18,6,1,11,2,1271,11582,111,13710,11,2,1,8,2,1424,12147,126,14617,11,-,-,11,-,1531,12950,125,14149,30,5,3,22,2,1675,12355,87,14085,23,3,3,17,2,1804,12185,71,13599,28,8,1,19,2,1795,11721,53,12552,27,3,6,18,1,1422,11035,67
"형법범",강력범죄(폭력),소계,160429,52,12,3,37,21,21134,137833,1389,160777,34,11,4,19,5,17612,141867,1259,158800,40,13,7,20,10,16021,141321,1408,146732,22,6,1,15,5,15508,130197,1000,138204,62,14,12,36,5,16299,120999,839,136646,56,8,16,32,7,16527,119385,671,124865,39,8,12,19,3,15107,109104,612,110784,44,5,6,33,2,13143,97191,404
"형법범",강력범죄(폭력),폭행,80394,17,4,1,12,7,11213,68005,1152,84954,11,4,2,5,3,9723,74176,1041,89780,20,8,4,8,4,9253,79311,1192,85224,12,3,-,9,2,9276,75132,802,82741,21,7,5,9,4,9979,72055,682,83127,19,2,7,10,1,10129,72439,539,75061,23,5,8,10,1,9348,65215,474,67694,10,2,1,7,2,8207,59156,319
"형법범",강력범죄(폭력),상해,65396,19,4,2,13,4,8657,56573,143,59207,18,4,2,12,2,6725,52343,119,53102,12,2,3,7,5,5702,47263,120,46578,8,3,1,4,1,5215,41245,109,40506,17,4,2,11,1,5150,35245,93,36977,22,4,7,11,4,4936,31943,72,33184,6,-,3,3,-,4322,28787,69,26765,13,2,3,8,-,3430,23280,42
"형법범",강력범죄(폭력),협박,5506,5,1,-,4,1,684,4769,47,8229,3,3,-,-,-,838,7319,69,9738,4,-,-,4,-,889,8787,58,9202,1,-,-,1,1,866,8289,45,9679,10,0,0,10,0,1021,8611,37,11702,5,2,1,2,2,1339,10319,37,11580,5,2,1,2,1,1302,10220,52,11682,13,1,-,12,-,1379,10252,38
"형법범",강력범죄(폭력),공갈,4393,8,3,-,5,9,174,4169,33,3152,1,-,-,1,-,58,3078,15,3183,2,2,-,-,-,79,3083,19,2757,1,-,-,1,1,61,2675,19,2474,9,3,2,4,0,49,2401,15,2329,8,0,1,7,0,35,2272,14,2365,4,1,-,3,-,31,2320,10,1761,4,-,-,4,-,26,1729,2
"형법범",강력범죄(폭력),약취와유인,127,-,-,-,-,-,8,119,-,110,-,-,-,-,-,1,109,-,127,-,-,-,-,-,5,122,-,120,-,-,-,-,-,4,116,-,106,0,0,0,0,0,3,103,0,131,0,0,0,0,0,4,127,0,116,-,-,-,-,-,7,109,-,143,1,-,1,-,-,9,133,-
"형법범",강력범죄(폭력),체포와감금,856,-,-,-,-,-,35,817,4,964,-,-,-,-,-,35,927,2,1102,2,1,-,1,-,37,1051,12,1130,-,-,-,-,-,49,1072,9,1000,0,0,0,0,0,40,955,5,983,2,0,0,2,0,58,916,7,979,1,-,-,1,-,40,935,3,927,3,-,1,2,-,36,886,2
"형법범",강력범죄(폭력),폭력행위등(손괴·강요·주거침입등),2615,2,-,-,2,-,229,2375,9,2726,1,-,-,1,-,153,2563,9,1341,-,-,-,-,1,50,1283,7,1232,-,-,-,-,-,31,1188,13,1048,1,0,1,0,0,51,989,7,1087,0,0,0,0,0,25,1062,0,1247,-,-,-,-,1,48,1194,4,1408,-,-,-,-,-,56,1351,1
"형법범",강력범죄(폭력),폭력행위등(단체등의구성·활동),1142,1,-,-,1,-,134,1006,1,1435,-,-,-,-,-,79,1352,4,427,-,-,-,-,-,6,421,-,489,-,-,-,-,-,6,480,3,650,4,0,2,2,0,6,640,0,310,0,0,0,0,0,1,307,2,333,-,-,-,-,-,9,324,-,404,-,-,-,-,-,-,404,-
"형법범",위조범죄,소계,6797,7,2,1,4,-,21,6625,144,6490,-,-,-,-,-,28,6341,121,6049,2,-,1,1,-,24,5943,80,5197,1,1,-,-,-,23,5097,76,4630,4,0,1,3,2,11,4536,77,4610,2,2,0,0,0,26,4521,61,4410,3,1,-,2,-,7,4341,59,3526,4,2,-,2,-,14,3478,30
"형법범",위조범죄,통화,77,-,-,-,-,-,-,67,10,78,-,-,-,-,-,-,73,5,67,-,-,-,-,-,-,64,3,115,-,-,-,-,-,-,113,2,68,1,0,1,0,0,0,67,0,46,0,0,0,0,0,0,45,1,22,-,-,-,-,-,-,22,-,18,-,-,-,-,-,-,18,-
"형법범",위조범죄,유가증권·인지·우표,214,-,-,-,-,-,-,208,6,150,-,-,-,-,-,-,147,3,129,-,-,-,-,-,-,124,5,145,-,-,-,-,-,-,140,5,81,2,0,0,2,0,0,77,2,60,0,0,0,0,0,0,60,0,39,-,-,-,-,-,-,38,1,21,-,-,-,-,-,-,20,1
"형법범",위조범죄,문서,6215,5,-,1,4,-,19,6069,122,5946,-,-,-,-,-,24,5809,113,5494,1,-,-,1,-,20,5405,68,4652,1,1,-,-,-,20,4566,65,4269,1,0,0,1,2,10,4183,73,4314,2,2,0,0,0,23,4230,59,4132,3,1,-,2,-,6,4070,53,3294,4,2,-,2,-,12,3249,29
"형법범",위조범죄,인장,291,2,2,-,-,-,2,281,6,316,-,-,-,-,-,4,312,-,359,1,-,1,-,-,4,350,4,285,-,-,-,-,-,3,278,4,212,0,0,0,0,0,1,209,2,190,0,0,0,0,0,3,186,1,217,-,-,-,-,-,1,211,5,193,-,-,-,-,-,2,191,-
"형법범",공무원범죄,소계,505,-,-,-,-,-,-,478,27,448,-,-,-,-,-,-,428,20,475,-,-,-,-,-,2,460,13,648,-,-,-,-,-,1,637,10,525,0,0,0,0,0,0,511,14,490,0,0,0,0,0,0,470,20,400,-,-,-,-,-,-,382,18,299,-,-,-,-,-,-,293,6
"형법범",공무원범죄,직무유기,44,-,-,-,-,-,-,43,1,54,-,-,-,-,-,-,50,4,43,-,-,-,-,-,-,40,3,32,-,-,-,-,-,-,31,1,23,0,0,0,0,0,0,19,4,33,0,0,0,0,0,0,25,8,20,-,-,-,-,-,-,18,2,16,-,-,-,-,-,-,16,-
"형법범",공무원범죄,직권남용,30,-,-,-,-,-,-,27,3,25,-,-,-,-,-,-,25,-,23,-,-,-,-,-,-,21,2,58,-,-,-,-,-,-,55,3,67,0,0,0,0,0,0,61,6,56,0,0,0,0,0,0,52,4,33,-,-,-,-,-,-,29,4,32,-,-,-,-,-,-,30,2
"형법범",공무원범죄,수뢰,245,-,-,-,-,-,-,233,12,199,-,-,-,-,-,-,189,10,230,-,-,-,-,-,-,227,3,330,-,-,-,-,-,-,326,4,289,0,0,0,0,0,0,287,2,248,0,0,0,0,0,0,243,5,260,-,-,-,-,-,-,253,7,139,-,-,-,-,-,-,136,3
"형법범",공무원범죄,증뢰,186,-,-,-,-,-,-,175,11,170,-,-,-,-,-,-,164,6,179,-,-,-,-,-,2,172,5,228,-,-,-,-,-,1,225,2,146,0,0,0,0,0,0,144,2,153,0,0,0,0,0,0,150,3,87,-,-,-,-,-,-,82,5,112,-,-,-,-,-,-,111,1
